id,vegetable_id,price,market,date,price_variation,created_at,updated_at
492,12,449,東京都,2025-04-24,93.9,2025-04-25 22:00:01 +0900,2025-04-25 22:00:01 +0900
493,13,459,東京都,2025-04-24,97.9,2025-04-25 22:00:01 +0900,2025-04-25 22:00:01 +0900
494,14,435,東京都,2025-04-24,87.9,2025-04-25 22:00:01 +0900,2025-04-25 22:00:01 +0900
495,15,716,東京都,2025-04-24,90.4,2025-04-25 22:00:01 +0900,2025-04-25 22:00:01 +0900
496,16,446,東京都,2025-04-24,100.7,2025-04-25 22:00:01 +0900,2025-04-25 22:00:01 +0900
497,17,893,東京都,2025-04-24,99.3,2025-04-25 22:00:01 +0900,2025-04-25 22:00:01 +0900
498,18,591,東京都,2025-04-24,97.2,2025-04-25 22:00:01 +0900,2025-04-25 22:00:01 +0900
499,19,328,東京都,2025-04-24,101.2,2025-04-25 22:00:01 +0900,2025-04-25 22:00:01 +0900
500,20,1993,東京都,2025-04-24,96.8,2025-04-25 22:00:01 +0900,2025-04-25 22:00:01 +0900
501,21,262,東京都,2025-04-24,91.0,2025-04-25 22:00:01 +0900,2025-04-25 22:00:01 +0900
502,22,463,東京都,2025-04-24,96.7,2025-04-25 22:00:01 +0900,2025-04-25 22:00:01 +0900
503,23,155,東京都,2025-04-24,91.2,2025-04-25 22:00:01 +0900,2025-04-25 22:00:01 +0900
504,24,1036,東京都,2025-04-24,97.9,2025-04-25 22:00:01 +0900,2025-04-25 22:00:01 +0900
505,25,290,東京都,2025-04-24,96.3,2025-04-25 22:00:01 +0900,2025-04-25 22:00:01 +0900
506,26,363,東京都,2025-04-24,155.1,2025-04-25 22:00:01 +0900,2025-04-25 22:00:01 +0900
507,27,377,東京都,2025-04-24,95.9,2025-04-25 22:00:01 +0900,2025-04-25 22:00:01 +0900
508,28,405,東京都,2025-04-24,99.8,2025-04-25 22:00:01 +0900,2025-04-25 22:00:01 +0900
509,29,560,東京都,2025-04-24,105.3,2025-04-25 22:00:01 +0900,2025-04-25 22:00:01 +0900
510,30,623,東京都,2025-04-24,101.3,2025-04-25 22:00:01 +0900,2025-04-25 22:00:01 +0900
511,31,2131,東京都,2025-04-24,96.0,2025-04-25 22:00:01 +0900,2025-04-25 22:00:01 +0900
512,32,618,東京都,2025-04-24,88.0,2025-04-25 22:00:01 +0900,2025-04-25 22:00:01 +0900
513,33,1154,東京都,2025-04-24,95.4,2025-04-25 22:00:01 +0900,2025-04-25 22:00:01 +0900
514,34,1190,東京都,2025-04-24,102.1,2025-04-25 22:00:01 +0900,2025-04-25 22:00:01 +0900
515,35,1077,東京都,2025-04-24,103.6,2025-04-25 22:00:01 +0900,2025-04-25 22:00:01 +0900
516,36,602,東京都,2025-04-24,109.7,2025-04-25 22:00:01 +0900,2025-04-25 22:00:01 +0900
517,37,2254,東京都,2025-04-24,89.8,2025-04-25 22:00:01 +0900,2025-04-25 22:00:01 +0900
518,38,297,東京都,2025-04-24,100.3,2025-04-25 22:00:01 +0900,2025-04-25 22:00:01 +0900
519,39,358,東京都,2025-04-24,96.8,2025-04-25 22:00:01 +0900,2025-04-25 22:00:01 +0900
520,40,350,東京都,2025-04-24,108.7,2025-04-25 22:00:01 +0900,2025-04-25 22:00:01 +0900
521,41,435,東京都,2025-04-24,94.6,2025-04-25 22:00:01 +0900,2025-04-25 22:00:01 +0900
522,42,180,東京都,2025-04-24,111.8,2025-04-25 22:00:01 +0900,2025-04-25 22:00:01 +0900
523,43,1706,東京都,2025-04-24,95.3,2025-04-25 22:00:01 +0900,2025-04-25 22:00:01 +0900
524,44,1059,東京都,2025-04-24,99.8,2025-04-25 22:00:01 +0900,2025-04-25 22:00:01 +0900
525,45,1013,東京都,2025-04-24,107.7,2025-04-25 22:00:01 +0900,2025-04-25 22:00:01 +0900
526,46,386,東京都,2025-04-24,95.8,2025-04-25 22:00:01 +0900,2025-04-25 22:00:01 +0900
527,47,324,東京都,2025-04-24,101.9,2025-04-25 22:00:01 +0900,2025-04-25 22:00:01 +0900
528,48,434,東京都,2025-04-24,100.7,2025-04-25 22:00:01 +0900,2025-04-25 22:00:01 +0900
